Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"D&C 82:11-24"	"05/29/2013"	"05/30/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 83"	"05/30/2013"	"05/31/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:1-11"	"05/31/2013"	"06/01/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:12-30"	"06/01/2013"	"06/02/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:31-50"	"06/02/2013"	"06/03/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:51-74"	"06/03/2013"	"06/04/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:75-91"	"06/04/2013"	"06/05/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:92-106"	"06/05/2013"	"06/06/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 84:107-120"	"06/06/2013"	"06/07/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 85:1-5"	"06/07/2013"	"06/08/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 85:6-12"	"06/08/2013"	"06/09/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 86"	"06/09/2013"	"06/10/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 87"	"06/10/2013"	"06/11/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:1-5"	"06/11/2013"	"06/12/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:6-24"	"06/12/2013"	"06/13/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:25-40"	"06/13/2013"	"06/14/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:41-58"	"06/14/2013"	"06/15/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:59-74"	"06/15/2013"	"06/16/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:75-87"	"06/16/2013"	"06/17/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:88-99"	"06/17/2013"	"06/18/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:100-112"	"06/18/2013"	"06/19/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:113-127"	"06/19/2013"	"06/20/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 88:128-141"	"06/20/2013"	"06/21/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 89:1-7"	"06/21/2013"	"06/22/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 89:8-21"	"06/22/2013"	"06/23/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 90:1-14"	"06/23/2013"	"06/24/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 90:15-37"	"06/24/2013"	"06/25/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 91-92"	"06/25/2013"	"06/26/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
"D&C 93:1-14"	"06/26/2013"	"06/27/2013"	"FREQ=YEARLY;INTERVAL=1"	""	""
