Track,Date,Reading
Book of Mormon,Oct 7,3 Nephi 1
Book of Mormon,Oct 8,3 Nephi 2
Book of Mormon,Oct 9,3 Nephi 3
Book of Mormon,Oct 10,3 Nephi 3
Book of Mormon,Oct 11,3 Nephi 4
Book of Mormon,Oct 12,3 Nephi 4
Book of Mormon,Oct 13,3 Nephi 6
Book of Mormon,Oct 14,3 Nephi 6
Book of Mormon,Oct 15,3 Nephi 6
Book of Mormon,Oct 16,3 Nephi 7
Book of Mormon,Oct 17,3 Nephi 8
Book of Mormon,Oct 18,3 Nephi 9
Book of Mormon,Oct 19,3 Nephi 9
Book of Mormon,Oct 20,3 Nephi 11
Book of Mormon,Oct 21,3 Nephi 11
Book of Mormon,Oct 22,3 Nephi 12
Book of Mormon,Oct 23,3 Nephi 12
Book of Mormon,Oct 24,3 Nephi 13
Book of Mormon,Oct 25,3 Nephi 13
Book of Mormon,Oct 26,3 Nephi 14
Book of Mormon,Oct 27,3 Nephi 15
Book of Mormon,Oct 28,3 Nephi 16
Book of Mormon,Oct 29,3 Nephi 17
Book of Mormon,Oct 30,3 Nephi 17
Book of Mormon,Oct 31,3 Nephi 18
Book of Mormon,Nov 1,3 Nephi 19
Book of Mormon,Nov 2,3 Nephi 19
Book of Mormon,Nov 3,3 Nephi 20
Book of Mormon,Nov 4,3 Nephi 20
Book of Mormon,Nov 5,3 Nephi 21
Book of Mormon,Nov 6,3 Nephi 21
Book of Mormon,Nov 7,3 Nephi 23
Book of Mormon,Nov 8,3 Nephi 24
Book of Mormon,Nov 9,3 Nephi 26
Book of Mormon,Nov 10,3 Nephi 26
Book of Mormon,Nov 11,3 Nephi 27
Book of Mormon,Nov 12,3 Nephi 28
Book of Mormon,Nov 13,3 Nephi 28
Book of Mormon,Nov 14,3 Nephi 29
Book of Mormon,Nov 15,4 Nephi 1
Book of Mormon,Nov 16,4 Nephi 1
Book of Mormon,Nov 17,4 Nephi 1
Book of Mormon,Nov 18,Mormon 1
Book of Mormon,Nov 19,Mormon 2
Book of Mormon,Nov 20,Mormon 3
Book of Mormon,Nov 21,Mormon 3
Book of Mormon,Nov 22,Mormon 4
Book of Mormon,Nov 23,Mormon 5
Book of Mormon,Nov 24,Mormon 6
Book of Mormon,Nov 25,Mormon 6
Book of Mormon,Nov 26,Mormon 8
Book of Mormon,Nov 27,Mormon 8
Book of Mormon,Nov 28,Mormon 8
Book of Mormon,Nov 29,Mormon 9
Book of Mormon,Nov 30,Mormon 9
Book of Mormon,Dec 1,Ether 1
Book of Mormon,Dec 2,Ether 2
Book of Mormon,Dec 3,Ether 2
Book of Mormon,Dec 4,Ether 3
Book of Mormon,Dec 5,Ether 4
Book of Mormon,Dec 6,Ether 4
Book of Mormon,Dec 7,Ether 6
Book of Mormon,Dec 8,Ether 7
Book of Mormon,Dec 9,Ether 7
Book of Mormon,Dec 10,Ether 8
Book of Mormon,Dec 11,Ether 9
Book of Mormon,Dec 12,Ether 10
Book of Mormon,Dec 13,Ether 10
Book of Mormon,Dec 14,Ether 11
Book of Mormon,Dec 15,Ether 12
Book of Mormon,Dec 16,Ether 12
Book of Mormon,Dec 17,Ether 12
Book of Mormon,Dec 18,Ether 13
Book of Mormon,Dec 19,Ether 14
Book of Mormon,Dec 20,Ether 14
Book of Mormon,Dec 21,Ether 15
Book of Mormon,Dec 22,Moroni 2
Book of Mormon,Dec 23,Moroni 6
Book of Mormon,Dec 24,Moroni 7
Book of Mormon,Dec 25,Moroni 7
Book of Mormon,Dec 26,Moroni 7
Book of Mormon,Dec 27,Moroni 8
Book of Mormon,Dec 28,Moroni 9
Book of Mormon,Dec 29,Moroni 10
Book of Mormon,Dec 30,Moroni 10
Book of Mormon,Dec 31,Moroni 10
